"","SRR6396793","SRR6396794","SRR6396795","SRR6396796","SRR6396797","SRR6396798","SRR6396799","SRR6396800","SRR6396801","SRR6396802","SRR6396803"
"ENSRNOG00000066169",3,2,0,1,2,0,8,3,21,20,3
"ENSRNOG00000070168",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000070901",62,64,83,20,100,123,674,676,1695,2186,2386
"ENSRNOG00000018029",1,3,2,1,5,5,10,12,9,36,38
"ENSRNOG00000031391",6,7,85,27,37,54,3,2,13,23,8
"ENSRNOG00000055342",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000068698",0,0,1,3,2,0,1,2,1,7,5
"ENSRNOG00000067904",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000063979",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000064851",3,5,7,1,6,13,4,5,10,6,13
"ENSRNOG00000063562",15,12,23,6,26,63,0,1,1,1,0
"ENSRNOG00000050129",0,0,0,0,0,1,0,0,4,1,1
"ENSRNOG00000056886",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000032625",111,102,125,33,243,325,257,245,543,578,574
"ENSRNOG00000029315",0,1,0,1,1,0,0,0,6,4,4
"ENSRNOG00000016356",1403,1327,2371,667,2506,3155,1087,1071,1955,1056,1047
"ENSRNOG00000028288",0,0,0,0,1,0,0,0,2,3,0
"ENSRNOG00000015810",82,99,141,34,173,184,855,869,1973,1605,1454
"ENSRNOG00000017538",11024,10911,21769,5383,22291,25881,130,133,280,268,228
"ENSRNOG00000027204",101,99,129,39,167,207,97,94,172,377,402
"ENSRNOG00000058651",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000070886",0,1,0,0,0,0,0,0,0,0,0
"ENSRNOG00000056005",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000035453",1,0,4,0,0,3,0,0,0,0,0
"ENSRNOG00000063396",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000068709",0,0,3,0,3,0,2,2,3,3,5
"ENSRNOG00000069410",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000014903",190,160,366,94,342,411,468,498,1059,1152,1151
"ENSRNOG00000055477",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000066157",14,21,35,9,60,41,0,0,0,1,0
"ENSRNOG00000059537",0,0,0,0,0,0,0,0,0,0,0
